Время;Имя узла;IP адрес;CPU (%);RAM (%);Disk (%)
19:53:01;MacBook-Margo;127.0.0.1;6.6;78.8;45.4
19:53:04;MacBook-Margo;127.0.0.1;7.5;78.4;45.4
19:53:07;MacBook-Margo;127.0.0.1;7.4;78.4;45.4
19:53:10;MacBook-Margo;127.0.0.1;7.2;78.6;45.4
19:53:13;MacBook-Margo;127.0.0.1;13.5;78.5;45.4
19:53:16;MacBook-Margo;127.0.0.1;4.3;78.8;45.4
19:53:19;MacBook-Margo;127.0.0.1;10.5;79.0;45.4
19:53:22;MacBook-Margo;127.0.0.1;6.2;79.0;45.4
19:53:25;MacBook-Margo;127.0.0.1;28.0;77.1;45.4
19:53:28;MacBook-Margo;127.0.0.1;6.8;78.6;45.4
19:53:31;MacBook-Margo;127.0.0.1;7.4;78.7;45.4
19:53:34;MacBook-Margo;127.0.0.1;10.0;77.1;45.4
19:53:37;MacBook-Margo;127.0.0.1;10.5;78.7;45.4
19:53:40;MacBook-Margo;127.0.0.1;11.2;78.8;45.4
19:53:43;MacBook-Margo;127.0.0.1;10.2;79.0;45.4
12:41:22;MacBook-Margo;127.0.0.1;11.0;75.8;62.4
12:41:25;MacBook-Margo;127.0.0.1;5.7;75.2;62.4
12:41:28;MacBook-Margo;127.0.0.1;9.6;75.0;62.4
14:54:05;MacBook-Margo;127.0.0.1;21.8;75.8;62.6
14:54:08;MacBook-Margo;127.0.0.1;13.7;75.8;62.6
15:25:31;MacBook-Margo;127.0.0.1;14.7;78.4;62.6
15:25:34;MacBook-Margo;127.0.0.1;22.5;78.1;62.6
15:25:37;MacBook-Margo;127.0.0.1;16.3;76.9;62.6
21:03:45;MacBook-Margo;127.0.0.1;9.1;79.7;63.9
21:03:48;MacBook-Margo;127.0.0.1;16.4;80.2;63.9
21:45:46;MacBook-Margo;127.0.0.1;8.9;80.8;64.6
21:45:49;MacBook-Margo;127.0.0.1;13.5;80.9;64.6
21:45:52;MacBook-Margo;127.0.0.1;22.1;82.1;64.6
21:45:55;MacBook-Margo;127.0.0.1;21.5;82.1;64.6
21:45:58;MacBook-Margo;127.0.0.1;18.3;81.2;64.6
21:46:01;MacBook-Margo;127.0.0.1;22.9;81.7;64.6
21:46:04;MacBook-Margo;127.0.0.1;15.4;80.9;64.6
21:46:07;MacBook-Margo;127.0.0.1;11.3;80.2;64.6
21:46:10;MacBook-Margo;127.0.0.1;10.3;81.5;64.6
21:46:13;MacBook-Margo;127.0.0.1;17.9;81.9;64.6
21:46:16;MacBook-Margo;127.0.0.1;16.4;81.1;64.6
21:46:19;MacBook-Margo;127.0.0.1;16.7;81.1;64.6
21:46:22;MacBook-Margo;127.0.0.1;17.0;81.4;64.6
21:46:25;MacBook-Margo;127.0.0.1;21.2;81.2;64.6
21:46:28;MacBook-Margo;127.0.0.1;21.7;82.1;64.6
